t_ms,ax,ay,az,gx,gy,gz
17799595,-0.7708,0.5920,0.2609,-0.0610,-0.2441,-0.5493
17799605,-0.7697,0.5928,0.2603,0.3052,-0.4883,-0.5493
17799614,-0.7670,0.5931,0.2603,0.1221,-0.6714,-0.6104
17799624,-0.7662,0.5952,0.2590,0.0000,-0.6104,-0.7324
17799633,-0.7665,0.5953,0.2554,0.1831,-0.7324,-0.9766
17799643,-0.7679,0.5913,0.2535,0.6104,-0.9766,-1.1597
17799652,-0.7710,0.5856,0.2562,0.3662,-0.6714,-0.9766
17799662,-0.7705,0.5839,0.2609,0.1831,-0.1831,-0.7935
17799671,-0.7678,0.5886,0.2615,0.3662,-0.1221,-0.6714
17799680,-0.7667,0.5956,0.2590,0.5493,-0.4272,-0.7935
17799691,-0.7648,0.6011,0.2577,0.9155,-0.9155,-1.0376
17799700,-0.7628,0.6025,0.2559,1.0986,-1.0376,-1.4648
17799709,-0.7621,0.6008,0.2524,1.5259,-1.0986,-1.5869
17799719,-0.7649,0.6006,0.2522,1.7090,-1.2207,-1.5259
17799728,-0.7715,0.5980,0.2567,1.1597,-0.7935,-1.2817
17799738,-0.7762,0.5903,0.2607,0.4272,-0.3662,-1.2207
17799747,-0.7798,0.5857,0.2617,-0.0610,0.0610,-1.0376
17799756,-0.7819,0.5852,0.2633,-0.7324,0.1831,-1.0376
17799766,-0.7802,0.5848,0.2650,-0.4883,0.2441,-1.3428
17799776,-0.7776,0.5856,0.2637,-0.0610,-0.0610,-1.6479
17799785,-0.7747,0.5875,0.2618,0.7324,-0.3052,-1.7090
17799794,-0.7719,0.5906,0.2607,1.1597,-0.6104,-1.6479
17799804,-0.7689,0.5942,0.2594,1.2207,-0.5493,-1.2817
17799814,-0.7664,0.5958,0.2587,0.7324,-0.4272,-0.8545
17799823,-0.7646,0.5953,0.2587,0.6104,-0.3662,-0.4272
17799832,-0.7631,0.5964,0.2584,0.3662,-0.1221,0.0610
17799842,-0.7622,0.5967,0.2579,0.0610,0.1831,0.3052
17799851,-0.7627,0.5946,0.2570,0.3052,0.3052,0.4883
17799860,-0.7679,0.5928,0.2557,0.3662,0.3052,0.5493
17799870,-0.7740,0.5906,0.2566,-0.1831,0.3662,0.6104
17799880,-0.7762,0.5863,0.2588,-0.5493,0.3052,0.4883
17799889,-0.7762,0.5839,0.2616,-0.2441,0.2441,0.3052
17799899,-0.7755,0.5844,0.2645,-0.0610,0.0610,0.0000
17799908,-0.7744,0.5818,0.2616,-0.3052,0.1831,0.0000
17799918,-0.7736,0.5841,0.2563,-0.4883,0.0610,0.0000
17799927,-0.7710,0.5907,0.2542,0.3662,-0.1831,-0.3662
17799936,-0.7666,0.5925,0.2609,0.9155,-0.3662,-0.7324
17799946,-0.7645,0.5940,0.2632,0.6714,0.0000,-0.7324
17799956,-0.7623,0.5936,0.2598,0.3662,-0.4883,-0.7324
17799965,-0.7620,0.5934,0.2594,0.3662,-0.4272,-0.5493
17799975,-0.7648,0.5951,0.2559,0.6714,-0.4883,-0.4883
17799984,-0.7662,0.5931,0.2555,0.6104,-0.6104,-0.3052
17799994,-0.7670,0.5905,0.2576,0.0000,-0.6104,-0.2441
17800003,-0.7678,0.5913,0.2582,-0.1831,-0.3662,-0.4272
17800012,-0.7688,0.5929,0.2571,-0.3662,-0.0610,-0.6714
17800022,-0.7690,0.5897,0.2581,-0.4272,0.4883,-1.0376
17800031,-0.7697,0.5859,0.2601,0.0610,0.4272,-1.2817
17800041,-0.7710,0.5872,0.2599,0.3662,0.1221,-1.4648
17800050,-0.7719,0.5911,0.2590,0.0000,0.0610,-1.4648
17800060,-0.7733,0.5919,0.2592,-0.1221,-0.1221,-1.5869
17800069,-0.7736,0.5912,0.2585,0.1221,-0.1831,-1.4648
17800079,-0.7714,0.5916,0.2577,0.1221,-0.1221,-1.4648
17800088,-0.7700,0.5925,0.2587,0.1831,-0.1831,-1.2207
17800098,-0.7692,0.5922,0.2587,0.3052,-0.1221,-1.2207
17800108,-0.7703,0.5916,0.2574,0.5493,-0.0610,-1.0376
17800116,-0.7721,0.5919,0.2583,0.9766,-0.3662,-0.9155
17800126,-0.7729,0.5918,0.2584,1.0376,-0.1831,-0.7935
17800136,-0.7725,0.5909,0.2572,0.5493,0.0610,-0.5493
17800145,-0.7736,0.5909,0.2582,0.7935,-0.0610,-0.4272
17800155,-0.7751,0.5918,0.2592,0.6104,-0.3052,-0.3052
17800164,-0.7740,0.5905,0.2587,0.1831,0.0610,-0.2441
17800174,-0.7737,0.5898,0.2576,0.3662,0.0000,-0.2441
17800183,-0.7728,0.5905,0.2563,0.1221,0.1831,-0.3052
17800192,-0.7708,0.5900,0.2560,-0.1831,0.2441,-0.3662
17800202,-0.7692,0.5886,0.2554,0.0000,0.3662,-0.6104
17800211,-0.7689,0.5900,0.2552,-0.1831,0.6714,-0.5493
17800221,-0.7698,0.5922,0.2570,-0.1831,0.7324,-0.4883
17800230,-0.7695,0.5928,0.2588,-0.0610,0.5493,-0.4272
17800240,-0.7690,0.5933,0.2595,-0.1221,0.3052,-0.4272
17800249,-0.7698,0.5935,0.2590,0.0610,-0.0610,-0.2441
17800259,-0.7701,0.5934,0.2587,0.3052,-0.4883,-0.2441
17800268,-0.7699,0.5922,0.2578,0.7935,-0.7324,-0.2441
17800278,-0.7689,0.5907,0.2567,1.0376,-0.9766,-0.4272
17800287,-0.7670,0.5890,0.2552,0.7935,-0.7935,-0.4272
17800296,-0.7661,0.5884,0.2542,0.4883,-0.4883,-0.4883
17800306,-0.7668,0.5890,0.2550,-0.1221,-0.1221,-0.4272
17800316,-0.7684,0.5911,0.2562,-0.7324,0.1221,-0.3662
17800325,-0.7683,0.5919,0.2555,-0.9766,0.4883,-0.4883
17800335,-0.7692,0.5913,0.2545,-0.7935,0.4272,-0.6104
17800344,-0.7709,0.5920,0.2560,-0.4272,0.3052,-0.7324
17800354,-0.7705,0.5907,0.2577,0.1221,0.1221,-0.9155
17800363,-0.7710,0.5895,0.2579,0.7324,-0.1221,-1.0986
17800372,-0.7736,0.5914,0.2579,0.7935,-0.3052,-0.9766
17800382,-0.7736,0.5923,0.2600,0.6104,-0.4883,-0.9155
17800392,-0.7733,0.5935,0.2615,0.3662,-0.6714,-0.6104
17800401,-0.7738,0.5950,0.2605,-0.0610,-0.7324,-0.4883
17800410,-0.7714,0.5950,0.2592,-0.1221,-0.5493,-0.3662
17800420,-0.7703,0.5952,0.2566,0.0610,-0.2441,-0.3662
17800429,-0.7690,0.5939,0.2555,0.3662,0.0000,-0.3052
17800439,-0.7692,0.5940,0.2545,0.0610,0.3052,-0.2441
17800448,-0.7697,0.5939,0.2551,-0.3662,0.6104,-0.0610
17800458,-0.7694,0.5914,0.2576,-0.4272,0.7935,-0.1221
17800468,-0.7698,0.5891,0.2578,0.0000,0.6104,-0.2441
17800477,-0.7694,0.5881,0.2578,0.1831,0.1831,-0.4272
17800487,-0.7695,0.5891,0.2571,0.4883,-0.0610,-0.6714
17800496,-0.7704,0.5903,0.2557,0.7935,-0.3052,-0.9155
17800505,-0.7726,0.5920,0.2552,0.4883,-0.1221,-0.9155
17800515,-0.7725,0.5919,0.2565,0.1221,-0.0610,-0.9155
17800524,-0.7704,0.5902,0.2588,0.2441,-0.1831,-1.0376
17800534,-0.7697,0.5903,0.2592,0.4883,-0.4272,-0.9766
17800543,-0.7692,0.5935,0.2567,0.1831,-0.3662,-0.9155
17800552,-0.7689,0.5948,0.2533,0.3662,-0.4883,-1.0376
17800562,-0.7684,0.5901,0.2528,0.4272,-0.4272,-1.1597
17800572,-0.7679,0.5857,0.2556,-0.0610,0.0610,-0.8545
17800581,-0.7671,0.5869,0.2579,-0.5493,0.4272,-0.6714
17800591,-0.7668,0.5908,0.2568,-0.1221,0.4272,-0.8545
17800600,-0.7676,0.5935,0.2565,0.6714,-0.3662,-1.3428
17800610,-0.7675,0.5945,0.2596,1.8311,-1.1597,-1.7700
17800619,-0.7682,0.5946,0.2587,2.1973,-1.7090,-2.0142
17800628,-0.7693,0.5944,0.2545,2.3804,-2.1362,-1.8311
17800638,-0.7706,0.5944,0.2529,2.1362,-2.3193,-1.7090
17800648,-0.7740,0.5934,0.2520,1.0376,-1.6479,-1.3428
17800657,-0.7760,0.5902,0.2534,-0.0610,-0.7935,-1.2207
17800666,-0.7769,0.5873,0.2566,-0.3052,-0.1831,-1.2817
17800676,-0.7783,0.5846,0.2590,-0.7324,0.4272,-1.4648
17800685,-0.7794,0.5817,0.2599,-0.4272,0.7324,-1.7700
17800695,-0.7800,0.5813,0.2596,0.2441,0.4272,-1.7700
17800704,-0.7798,0.5841,0.2599,0.4883,0.0610,-1.5259
17800714,-0.7761,0.5873,0.2605,0.2441,-0.3052,-1.2817
17800724,-0.7699,0.5907,0.2583,0.0610,-0.3662,-1.0986
17800732,-0.7659,0.5924,0.2561,0.1831,-0.3052,-0.7935
17800743,-0.7643,0.5914,0.2574,0.8545,-0.3052,-0.6104
17800752,-0.7653,0.5922,0.2579,1.6479,-0.2441,-0.3662
